compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.02,mzspec:MSV000093469:peak/20230816_ReFrame_drug_lib_pos/reframe_drugs_pos_P1_E6_id.mzML:scan:834,1,0.77,4,0,MSV000093469,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,2344741
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000090472:peak/mzML/PLT6_NSG_B4.mzML:scan:487,1,0.73,2,0,MSV000090472,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,705555
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000088801:ccms_peak/NRRL_PLT2_TSA_raw/PLT2_A9.mzML:scan:479,1,0.73,4,0,MSV000088801,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,2073461
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000088801:peak/NRRL_PLT2_TSA_mzML/PLT2_A9.mzML:scan:479,1,0.73,4,0,MSV000088801,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,2073357
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000089815:ccms_peak/PLT4_NSG_Raw/PLT4_NSG_A3.mzML:scan:449,1,0.72,4,0,MSV000089815,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,2227349
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000089815:peak/PLT4_NSG_mzML/PLT4_NSG_A3.mzML:scan:449,1,0.72,4,0,MSV000089815,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,2227355
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000088801:ccms_peak/NRRL_PLT2_TSA_raw/PLT2_C11.mzML:scan:441,1,0.71,2,0,MSV000088801,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,2073213
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000088801:peak/NRRL_PLT2_TSA_mzML/PLT2_C11.mzML:scan:441,1,0.71,2,0,MSV000088801,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,2073111
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000093265:peak/NPOmix_MSMS/GCF_014649335.1.mzML.3.mzML:scan:441,1,0.71,2,0,MSV000093265,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,327949
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000094769:peak/peak/MSV000088801_PLT2_C11.mzML:scan:441,1,0.71,2,0,MSV000094769,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,452492
Ibuprofen_2-methylbutylamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273878,0.0,mzspec:MSV000094769:ccms_peak/peak/MSV000088801_PLT2_C11.mzML:scan:441,1,0.71,2,0,MSV000094769,NoID,temp/queries/8a/8af07e497a2d44c9b084aec7bf0298ea/8af07e497a2d44c9b084aec7bf0298ea.mgf,1,276,452010
