compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,-0.0,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:2069,1,0.94,5,0,MSV000094559,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1124121
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:1358,1,0.9,4,0,MSV000094559,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1124115
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:1274,1,0.85,4,0,MSV000094559,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1124113
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000089449:ccms_peak/DDA/VG12/VG12-2.mzML:scan:15714,1,0.81,2,0,MSV000089449,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1168107
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,-0.0,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:2414,1,0.77,4,0,MSV000094559,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1124122
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000292:ST000292/Data/raw files/pos/qe2_SBS_22_69[b9-DD].mzXML:scan:8445,1,0.76,1,0,ST000292,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2701175
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000286:ST000286/Data/raw_files/pos/QE2_SBS_17_30[11ddMS2]P.mzXML:scan:8281,1,0.76,1,0,ST000286,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2600743
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000235:ST000235/raw_files/pos/QE2_sbs_11_50[17OCddms2].mzXML:scan:6490,1,0.76,1,0,ST000235,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2676239
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000235:ST000235/raw_files/pos/QE2_sbs_11_47[4Sddms2].mzXML:scan:6499,1,0.75,1,0,ST000235,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2676247
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000235:ST000235/raw_files/pos/QE2_sbs_11_49[27NOCddms2].mzXML:scan:6501,1,0.75,1,0,ST000235,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2676235
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000098496:raw/AM_04_B-E5_1_76002.mzML:scan:1108,1,0.75,1,0,MSV000098496,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,341308
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000235:ST000235/raw_files/pos/QE2_sbs_11_48[10Nddms2].mzXML:scan:6499,1,0.75,1,0,ST000235,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2676232
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000079485:ccms_peak/FermentationFestival2016_MzXML/57_41069.mzXML:scan:4249,1,0.74,2,0,MSV000079485,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1169130
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000286:ST000286/Data/raw_files/pos/QE2_SBS_17_29[1ddMS2]P.mzXML:scan:8278,1,0.74,1,0,ST000286,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2600737
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,-0.02,mzspec:MSV000088283:ccms_peak/C18_pos/Ascentis_pos_34_09_EMR_04_20_JP_Ascentis_pos-EMR_04_20_JP.mzML:scan:4294967295,1,0.73,1,0,MSV000088283,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,550393
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000564:ST000564/Stewart_006f8_3e89f/Data/raw_files/pos/QE2_SBS_16_11[Control16_DayddMS2]p.mzXML:scan:8352,1,0.73,1,0,ST000564,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2594264
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000079485:ccms_peak/FermentationFestival2016_MzXML/18_41062.mzXML:scan:4189,1,0.73,1,0,MSV000079485,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1168955
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000079485:ccms_peak/FermentationFestival2016_MzXML/57_41069.mzXML:scan:4188,1,0.73,1,0,MSV000079485,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1169129
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000079516:ccms_peak/Labelled/A1_labJ1074.mzXML:scan:4550,1,0.73,1,0,MSV000079516,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,503465
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000079485:ccms_peak/FermentationFestival2016_MzXML/28_41364.mzXML:scan:4189,1,0.73,1,0,MSV000079485,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1168741
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,-0.02,mzspec:MSV000088283:peak/C18_pos/Ascentis_pos_34_09_EMR_04_20_JP_Ascentis_pos-EMR_04_20_JP.mzML:scan:4294967295,1,0.73,1,0,MSV000088283,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,550745
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000291:ST000291/Data/raw files/pos/qe2_SBS_23_63[b2-DD]p.mzXML:scan:8449,1,0.73,1,0,ST000291,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2642678
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000079485:ccms_peak/FermentationFestival2016_MzXML/14_41363.mzXML:scan:4209,1,0.73,1,0,MSV000079485,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1168577
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000291:ST000291/Data/raw files/pos/qe2_SBS_23_64[c16-DD]p.mzXML:scan:8427,1,0.73,1,0,ST000291,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2642715
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000079485:ccms_peak/FermentationFestival2016_MzXML/34_41070.mzXML:scan:4185,1,0.72,1,0,MSV000079485,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1169689
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000079485:ccms_peak/FermentationFestival2016_MzXML/59_41360.mzXML:scan:4194,1,0.72,1,0,MSV000079485,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1168638
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:ST000291:ST000291/Data/raw files/pos/qe2_SBS_23_65[a1-DD]p.mzXML:scan:8429,1,0.71,1,0,ST000291,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2642705
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,-0.0,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:1792,1,0.71,4,0,MSV000094559,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1124119
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000088283:ccms_peak/C18_pos/Ascentis_pos_56_65_EMR_04_72_RB_Ascentis_pos-EMR_04_72_RB.mzML:scan:4294967295,1,0.71,2,0,MSV000088283,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,550603
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000088283:peak/C18_pos/Ascentis_pos_56_65_EMR_04_72_RB_Ascentis_pos-EMR_04_72_RB.mzML:scan:4294967295,1,0.71,2,0,MSV000088283,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,550800
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000095003:peak/20240610_PCP_pos/P2_E6_542.mzML:scan:5733,1,0.7,2,0,MSV000095003,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,1644439
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000083010:ccms_peak/Samples/G90223_1x_BB7_01_26560.mzML:scan:1861,1,0.7,1,0,MSV000083010,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,729525
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000082074:ccms_peak/Samples/G90223_1x_BB7_01_26560.mzML:scan:1861,1,0.7,1,0,MSV000082074,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2287841
Ibuprofen_4-aminobutanamide,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273710,0.01,mzspec:MSV000082072:ccms_peak/data_mzXML/Samples/G90223_1x_BB7_01_26560.mzML:scan:1861,1,0.7,1,0,MSV000082072,NoID,temp/queries/70/70636329810a43eaa23278fa1958523f/70636329810a43eaa23278fa1958523f.mgf,1,291,2547320
