compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,-0.0,mzspec:MSV000094559:updates/2025-03-18_apatan_fc71856c/raw/03152025_jhonsnow/mzML/Hu_1245.mzML:scan:2947,1,0.89,4,0,MSV000094559,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,532098
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,-0.0,mzspec:MSV000094528:peak/mzml_20231124_positive/20231124_pluskal_iocb_peptide_Peptide01_B2_id_MSn_positive.mzML:scan:370,1,0.88,2,0,MSV000094528,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,190225
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,0.0,mzspec:MSV000090970:peak/CP42_1_P1-D-5_01_17455.mzXML:scan:2515,1,0.83,2,0,MSV000090970,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,869400
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,0.0,mzspec:MSV000090970:peak/CP8_1_P1-A-7_01_17513.mzXML:scan:2491,1,0.8,3,0,MSV000090970,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,869389
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,0.0,mzspec:MSV000090970:peak/CP8_2_P1-A-8_01_17514.mzXML:scan:2500,1,0.8,2,0,MSV000090970,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,869078
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,-0.0,mzspec:MSV000081152:ccms_peak/mzXML_Files/Plate_2/C18p_Plate2_BG3_01_10383.mzXML:scan:1648,1,0.78,2,0,MSV000081152,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,326795
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,0.0,mzspec:MSV000090970:peak/CP8_3_P1-A-9_01_17515.mzXML:scan:2522,1,0.75,3,0,MSV000090970,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,869455
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,-0.0,mzspec:MSV000081152:ccms_peak/mzXML_Files/Plate_2/C18p_Plate2_BF3_01_10369.mzXML:scan:1642,1,0.74,2,0,MSV000081152,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,327334
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,0.0,mzspec:MSV000090970:peak/CP8_3_P1-A-9_01_17515.mzXML:scan:2509,1,0.74,2,0,MSV000090970,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,869454
Ibuprofen_4-aminobutyric acid,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273757,-0.0,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:2872,1,0.73,5,0,MSV000094559,NoID,temp/queries/22/222936d30c04471090f7ca9cab88e16d/222936d30c04471090f7ca9cab88e16d.mgf,1,292,533773
