compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,0.01,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:1423,1,0.75,4,0,MSV000094559,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,911337
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,-0.01,mzspec:MSV000082221:ccms_peak/mzxml_files/samples/PLCL21472_BH6_01_28202.mzML:scan:1388,1,0.74,2,0,MSV000082221,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,159065
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,0.02,mzspec:MSV000084775:ccms_peak/mzXML/Samples/FIT086E3CAL_GA6_01_50183.mzML:scan:3255,1,0.72,3,0,MSV000084775,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,943332
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,0.02,mzspec:MTBLS777:FILES/Cali9.mzML:scan:4294967295,1,0.72,4,0,MTBLS777,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,2245170
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,0.02,mzspec:MTBLS777:FILES/DERIVED_FILES/Cali9.mzML:scan:4294967295,1,0.72,4,0,MTBLS777,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,2244969
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,0.01,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:2517,1,0.72,3,0,MSV000094559,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,911342
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,-0.02,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:2988,1,0.72,4,0,MSV000094559,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,911346
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,0.02,mzspec:MSV000085882:peak/peak/MS18_69_18.mzML:scan:3028,1,0.72,3,0,MSV000085882,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,12627
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,0.02,mzspec:MTBLS746:FILES/MS18_69_18.mzML:scan:3028,1,0.72,3,0,MTBLS746,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,2277048
Ibuprofen_agmatine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273714,0.02,mzspec:MSV000092823:raw/ADCe00280.mzML:scan:4294967295,1,0.7,1,0,MSV000092823,NoID,temp/queries/33/33326f55dc38454d92dd7273c8414b58/33326f55dc38454d92dd7273c8414b58.mgf,1,319,20094
