compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.0,mzspec:MSV000096359:ccms_peak/RAW/5_6_7/P7_C2_364433166.mzML:scan:2449,1,0.94,5,0,MSV000096359,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,480797
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P7_C2_364433166.mzML:scan:2449,1,0.94,5,0,MSV000096359,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,480311
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.0,mzspec:MSV000084112:ccms_peak/Urine_Data/11129_NT1D003_JJK_Ur.mzML:scan:2426,1,0.93,4,0,MSV000084112,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,906336
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.0,mzspec:MSV000082261:ccms_peak/raw_files/samples/11129_NT1D003_JJK_Ur.mzML:scan:2426,1,0.93,4,0,MSV000082261,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,489800
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.0,mzspec:MSV000082261:ccms_peak/raw_files/samples/11129_NT1D003_JJK_Ur.mzML:scan:2143,1,0.91,4,0,MSV000082261,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,489799
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.0,mzspec:MSV000084112:ccms_peak/Urine_Data/11129_NT1D003_JJK_Ur.mzML:scan:2143,1,0.91,4,0,MSV000084112,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,906335
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.0,mzspec:MSV000084112:ccms_peak/Urine_Data/11129_NH022_JJK_Ur.mzML:scan:2424,1,0.9,3,0,MSV000084112,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,906575
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.0,mzspec:MSV000082261:ccms_peak/raw_files/samples/11129_NH022_JJK_Ur.mzML:scan:2424,1,0.9,3,0,MSV000082261,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,490089
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.01,mzspec:MSV000094559:updates/2024-12-18_apatan_366c37f7/raw/10172024/AP_1915.mzML:scan:839,1,0.79,2,0,MSV000094559,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,548272
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.02,mzspec:MSV000089884:ccms_peak/18_Nostoc_punctiforme_SPE.mzML:scan:1677,1,0.73,3,0,MSV000089884,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,1238094
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.02,mzspec:MSV000088697:ccms_peak/raw/dda_msms_raw/18_Nostoc_punctiforme_SPE.mzML:scan:1677,1,0.73,3,0,MSV000088697,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,817331
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.02,mzspec:MSV000089884:peak/18_Nostoc_punctiforme_SPE.mzML:scan:1677,1,0.73,3,0,MSV000089884,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,1237939
Ibuprofen_d-isoleucine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273857,0.02,mzspec:MSV000088697:peak/mzML/dda_msms_mzml/18_Nostoc_punctiforme_SPE.mzML:scan:1677,1,0.73,3,0,MSV000088697,NoID,temp/queries/24/2407aa897f414d31be51296d57b2debc/2407aa897f414d31be51296d57b2debc.mgf,1,320,817116
