compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,-0.0,mzspec:ST002977:Fecal_Metabolome_and_Microbiome_IDs/Raw_Data_Files/Bile Acid Fatty Acid Esters/BAFAE_data_pos/2023-09-06_run038_Fraction26.mzML:scan:5273,1,0.94,5,0,ST002977,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,2393587
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,0.0,mzspec:MSV000096359:ccms_peak/RAW/2_3_4/P2_D3_364172974.mzML:scan:2106,1,0.94,6,0,MSV000096359,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,895895
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P2_D3_364172974.mzML:scan:2106,1,0.94,6,0,MSV000096359,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,898797
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P7_G8_364433190.mzML:scan:2081,1,0.93,5,0,MSV000096359,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,895477
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,0.0,mzspec:MSV000097935:ccms_peak/mzML/Plate2/P2_D10_01LJ00544_V5.mzML:scan:1532,1,0.93,6,0,MSV000097935,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,303954
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,0.0,mzspec:MSV000097935:peak/mzML/Plate2/P2_D10_01LJ00544_V5.mzML:scan:1532,1,0.93,6,0,MSV000097935,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,307441
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,0.0,mzspec:MSV000096359:ccms_peak/RAW/5_6_7/P7_G8_364433190.mzML:scan:2081,1,0.93,5,0,MSV000096359,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,901804
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,-0.0,mzspec:MSV000095726:peak/UMB_220_Duke_MZML/P1_E2_UMB73533.mzML:scan:2049,1,0.93,6,0,MSV000095726,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,1609426
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,0.0,mzspec:MSV000084112:ccms_peak/Urine_Data/11129_NH022_JJK_Ur.mzML:scan:1912,1,0.92,5,0,MSV000084112,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,1713962
Ibuprofen_d-serine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273826,0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P6_F1_364302420.mzML:scan:2153,1,0.92,5,0,MSV000096359,NoID,temp/queries/83/831df9c26ec9465e88bca2db33da252f/831df9c26ec9465e88bca2db33da252f.mgf,1,294,901666
