compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:ST003125:Neg/fLiver_lipid_neg_42.mzML:scan:4294967295,1,0.78,1,0,ST003125,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1017050
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:MTBLS3097:FILES/metabolomics_mzXML_positive/Pos_standards_yeast_background_25_yeast_10.mzXML:scan:2870,1,0.73,3,0,MTBLS3097,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1049876
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:MTBLS3097:FILES/metabolomics_mzXML_positive/Pos_standards_yeast_background_15_yeast_05.mzXML:scan:2882,1,0.73,3,0,MTBLS3097,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1049808
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:MTBLS3097:FILES/metabolomics_mzXML_positive/Pos_standards_yeast_background_17_yeast_06.mzXML:scan:2865,1,0.73,3,0,MTBLS3097,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1049819
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:MTBLS3097:FILES/metabolomics_mzXML_positive/Pos_standards_yeast_background_11_yeast_03.mzXML:scan:2863,1,0.73,3,0,MTBLS3097,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1049866
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:MTBLS3097:FILES/metabolomics_mzXML_positive/Pos_standards_yeast_background_19_yeast_07.mzXML:scan:2886,1,0.73,3,0,MTBLS3097,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1049882
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,-0.02,mzspec:ST003500:balbo006_mckeo093_19145_20230510_S144.mzML:scan:5917,1,0.73,1,0,ST003500,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,994659
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:MTBLS3097:FILES/metabolomics_mzXML_positive/Pos_standards_yeast_background_09_yeast_02.mzXML:scan:2862,1,0.71,3,0,MTBLS3097,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1049782
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:MTBLS3097:FILES/metabolomics_mzXML_positive/Pos_standards_yeast_background_21_yeast_08.mzXML:scan:2868,1,0.71,3,0,MTBLS3097,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1049789
Ibuprofen_guanosine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273729,0.0,mzspec:MTBLS3097:FILES/metabolomics_mzXML_positive/Pos_standards_yeast_background_13_yeast_04.mzXML:scan:2862,1,0.7,3,0,MTBLS3097,NoID,temp/queries/b0/b06a29e25bb64795ad6ba93bad6f5dce/b06a29e25bb64795ad6ba93bad6f5dce.mgf,1,472,1049826
