compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,0.0,mzspec:MSV000094559:updates/2025-03-18_apatan_fc71856c/raw/03152025_jhonsnow/mzML/Hu_1246.mzML:scan:2757,1,1.0,5,0,MSV000094559,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,808039
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,0.0,mzspec:MSV000094559:updates/2025-03-18_apatan_fc71856c/raw/03152025_jhonsnow/mzML/Hu_1203.mzML:scan:2816,1,0.99,5,0,MSV000094559,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,808759
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,0.0,mzspec:MSV000094559:updates/2025-03-18_apatan_fc71856c/raw/03152025_jhonsnow/mzML/Hu_1197.mzML:scan:2766,1,0.99,5,0,MSV000094559,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,807019
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,0.0,mzspec:MSV000094559:updates/2025-03-18_apatan_fc71856c/raw/03152025_jhonsnow/mzML/Hu_1205.mzML:scan:3044,1,0.98,5,0,MSV000094559,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,808128
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,0.0,mzspec:MSV000082261:ccms_peak/raw_files/samples/11129_NT1D003_JJK_Ur.mzML:scan:2093,1,0.95,4,0,MSV000082261,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,691017
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,0.0,mzspec:MSV000084112:ccms_peak/Urine_Data/11129_NT1D003_JJK_Ur.mzML:scan:2093,1,0.95,4,0,MSV000084112,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,1336718
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,-0.0,mzspec:MSV000082433:ccms_peak/raw/20161103_Amerindian_Plate6/509.mzML:scan:2165,1,0.92,4,0,MSV000082433,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,1292064
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,-0.01,mzspec:MSV000082433:ccms_peak/raw/20161103_Amerindian_Plate6/509.mzML:scan:2032,1,0.86,4,0,MSV000082433,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,1292063
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,0.0,mzspec:MSV000082261:ccms_peak/raw_files/samples/11129_NH022_JJK_Ur.mzML:scan:2112,1,0.84,3,0,MSV000082261,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,691325
Ibuprofen_l-alanine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273796,0.0,mzspec:MSV000084112:ccms_peak/Urine_Data/11129_NH022_JJK_Ur.mzML:scan:2112,1,0.84,3,0,MSV000084112,NoID,temp/queries/40/40c8384dc7694b3fa275667b03c9f8a9/40c8384dc7694b3fa275667b03c9f8a9.mgf,1,278,1336955
