compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,-0.0,mzspec:MSV000096049:peak/Precision_and_Recovery_mzML/Recovery_HNRC_100H2O_P3G2_no_recovery_3.mzML:scan:2505,1,0.99,6,0,MSV000096049,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,480766
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,0.0,mzspec:MSV000081492:ccms_peak/Raw_Files/Samples_Sham/72846.mzML:scan:1798,1,0.96,6,0,MSV000081492,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,1602875
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,0.0,mzspec:MSV000096049:peak/HNRC_samples_mzML/HNRC_100H2O_P3_G2.mzML:scan:2472,1,0.96,6,0,MSV000096049,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,481551
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,0.0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/HNRC_P3_G2_Sample_X3148765_100H2O_spike_low_LC2.mzML:scan:3295,1,0.96,6,0,MSV000095423,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,765246
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,0.0,mzspec:MSV000095423:updates/2024-07-24_helenamrusso_d8d86449/peak/LC1_5to100/HNRC_P3_G2_Sample_X3148765.mzML:scan:2542,1,0.95,6,0,MSV000095423,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,764711
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,-0.0,mzspec:MSV000096049:peak/Precision_and_Recovery_mzML/Recovery_HNRC_100H2O_P3G2_no_recovery_2.mzML:scan:2504,1,0.94,5,0,MSV000096049,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,480380
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,0.0,mzspec:MSV000096049:peak/Precision_and_Recovery_mzML/Recovery_HNRC_100H2O_P3G2_low_point_2.mzML:scan:2479,1,0.94,5,0,MSV000096049,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,481672
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,-0.0,mzspec:MSV000087942:ccms_peak/Plate_02_RAW/Tube_099.mzML:scan:1401,1,0.94,6,0,MSV000087942,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,1307879
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,0.0,mzspec:MSV000096049:peak/Precision_and_Recovery_mzML/Recovery_HNRC_100H2O_P3G2_low_point_3.mzML:scan:2481,1,0.94,5,0,MSV000096049,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,481813
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,-0.0,mzspec:MSV000096049:peak/Precision_and_Recovery_mzML/Recovery_HNRC_100H2O_P3G2_no_recovery_1.mzML:scan:2519,1,0.92,5,0,MSV000096049,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,482158
Ibuprofen_l-asparagine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273815,0.0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100/HNRC_P3_G2_Sample_X3148765_LC1.mzML:scan:2615,1,0.92,5,0,MSV000095423,NoID,temp/queries/a7/a740aa421baa48f6bef9ba6f4ade550e/a740aa421baa48f6bef9ba6f4ade550e.mgf,1,321,764530
