compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,0.02,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2101.mzML:scan:3114,1,0.9,4,0,MSV000094559,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,815607
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,0.02,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2100.mzML:scan:3112,1,0.89,4,0,MSV000094559,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,817062
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,0.02,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2091.mzML:scan:3040,1,0.87,4,0,MSV000094559,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,813424
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,0.02,mzspec:MTBLS11080:FILES/HF1_CP8_FZTM240048191-1A.mzML:scan:2075,1,0.86,3,0,MTBLS11080,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,1997905
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,0.02,mzspec:MTBLS11080:FILES/HF1_CP7_FZTM240048190-1A.mzML:scan:2117,1,0.82,3,0,MTBLS11080,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,1997943
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,0.02,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2098.mzML:scan:3051,1,0.81,4,0,MSV000094559,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,815745
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,0.02,mzspec:MTBLS11080:FILES/HF1_CP3_FZTM240048186-1A.mzML:scan:2065,1,0.79,2,0,MTBLS11080,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,1997940
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,-0.0,mzspec:MSV000093311:raw/tayloraportman/Blank_RP.mzML:scan:13198,1,0.74,2,0,MSV000093311,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,1707803
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,-0.0,mzspec:MSV000093469:peak/20230816_ReFrame_drug_lib_pos/reframe_drugs_pos_P3_C4_id.mzML:scan:1416,1,0.74,3,0,MSV000093469,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,1470914
Ibuprofen_l-glutamate,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273898,-0.0,mzspec:MSV000093311:raw/59_RP_F1154_Axenic.mzML:scan:13157,1,0.73,2,0,MSV000093311,NoID,temp/queries/89/897c3a9311b046f59a4511b2a7c3f192/897c3a9311b046f59a4511b2a7c3f192.mgf,1,336,1707614
