compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:ST002977:Fecal_Metabolome_and_Microbiome_IDs/Raw_Data_Files/Bile Acid Fatty Acid Esters/BAFAE_data_pos/2023-09-06_run039_Fraction25.mzML:scan:5141,1,0.99,8,0,ST002977,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,2198782
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P9_D4_364302360.mzML:scan:1972,1,0.97,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,882008
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P2_D3_364172974.mzML:scan:2044,1,0.97,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,882666
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P9_B7_364302378.mzML:scan:1928,1,0.97,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,885266
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:ccms_peak/RAW/8_9/P9_B7_364302378.mzML:scan:1928,1,0.97,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,883563
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:ccms_peak/RAW/5_6_7/P6_D5_364302460.mzML:scan:1929,1,0.97,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,883517
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P6_D5_364302460.mzML:scan:1929,1,0.97,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,880773
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:ccms_peak/RAW/2_3_4/P2_D3_364172974.mzML:scan:2044,1,0.97,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,881356
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:ccms_peak/RAW/8_9/P9_D4_364302360.mzML:scan:1972,1,0.97,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,881442
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P7_C2_364433166.mzML:scan:2012,1,0.96,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,881131
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:ccms_peak/RAW/5_6_7/P7_C2_364433166.mzML:scan:2012,1,0.96,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,882694
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:ccms_peak/RAW/2_3_4/P4_B8_364302588.mzML:scan:2007,1,0.96,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,884089
Ibuprofen_l-glutamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273690,-0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P4_B8_364302588.mzML:scan:2007,1,0.96,8,0,MSV000096359,NoID,temp/queries/83/835d6de1463f455693f9105b6d5d4621/835d6de1463f455693f9105b6d5d4621.mgf,1,335,882870
