compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,0.0,mzspec:MSV000082261:ccms_peak/raw_files/samples/11129_NT1D003_JJK_Ur.mzML:scan:2010,1,0.94,6,0,MSV000082261,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,442797
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,0.0,mzspec:MSV000084112:ccms_peak/Urine_Data/11129_NT1D003_JJK_Ur.mzML:scan:2010,1,0.94,6,0,MSV000084112,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,929476
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,0.0,mzspec:MSV000084112:ccms_peak/Urine_Data/11129_NH022_JJK_Ur.mzML:scan:1998,1,0.9,5,0,MSV000084112,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,929631
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,0.0,mzspec:MSV000082261:ccms_peak/raw_files/samples/11129_NH022_JJK_Ur.mzML:scan:1998,1,0.9,5,0,MSV000082261,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,442983
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,-0.0,mzspec:MSV000096359:ccms_peak/RAW/5_6_7/P7_G8_364433190.mzML:scan:2144,1,0.88,6,0,MSV000096359,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,428172
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,-0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P7_G8_364433190.mzML:scan:2144,1,0.88,6,0,MSV000096359,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,425697
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,0.02,mzspec:MSV000096242:peak/mzml_20230620_rt_ms2_positive/20230620_pluskal_mce_1D2_D12_id_rt_ms2_positive.mzML:scan:1180,1,0.81,1,0,MSV000096242,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,105734
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,0.02,mzspec:MSV000096242:peak/mzml_20230620_rt_ms2_positive/20230620_pluskal_mce_1D2_D12_id_rt_ms2_positive.mzML:scan:1135,1,0.79,1,0,MSV000096242,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,105733
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,0.02,mzspec:MSV000094528:peak/mzml_20231124_positive/20231124_pluskal_iocb_peptide_Peptide01_E13_id_MSn_positive.mzML:scan:502,1,0.77,1,0,MSV000094528,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,154602
Ibuprofen_l-threonine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273807,0.0,mzspec:MSV000096359:peak/Burnett_RisePlus_Allmzml/P9_D4_364302360.mzML:scan:2101,1,0.77,6,0,MSV000096359,NoID,temp/queries/1c/1cfaa8e53b5042abab38fc98e418b948/1cfaa8e53b5042abab38fc98e418b948.mgf,1,308,426395
