compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,0.02,mzspec:MSV000081152:ccms_peak/mzXML_Files/Plate_2/C18p_Plate2_BD10_01_10348.mzXML:scan:1443,1,0.86,2,0,MSV000081152,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,386891
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,0.02,mzspec:MSV000082178:ccms_peak/NASH/C18p_Plate2_BD10_01_10348.mzML:scan:1443,1,0.86,2,0,MSV000082178,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,336133
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:1878,1,0.82,4,0,MSV000094559,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,724667
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,0.02,mzspec:MSV000081152:ccms_peak/mzXML_Files/Plate_2/C18p_Plate2_BB12_01_10322.mzXML:scan:1606,1,0.78,3,0,MSV000081152,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,385460
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000081753:ccms_peak/data_mzxml/Samples/G75842_1x_rerun_15ul_RF5_01_20570.mzML:scan:604,1,0.77,1,0,MSV000081753,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,413344
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000083010:ccms_peak/Samples/G75842_1x_rerun_15ul_RF5_01_20570.mzML:scan:604,1,0.77,1,0,MSV000083010,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,410667
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000082074:ccms_peak/Samples/G75842_1x_rerun_15ul_RF5_01_20570.mzML:scan:604,1,0.77,1,0,MSV000082074,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,1254863
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000084734:ccms_peak/files/Plant_simple_subset/files/G75842_1x_rerun_15ul_RF5_01_20570.mzML:scan:604,1,0.77,1,0,MSV000084734,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,843453
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000084101:ccms_peak/Plant_simple_subset/G75842_1x_rerun_15ul_RF5_01_20570.mzML:scan:604,1,0.77,1,0,MSV000084101,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,101738
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G75842_1x_rerun_15ul_RF5_01_20570.mzML:scan:604,1,0.77,1,0,MSV000084900,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,547427
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,0.0,mzspec:MSV000094559:updates/2024-12-18_apatan_535e183c/raw/12042024/mzML/AP_2017.mzML:scan:3031,1,0.75,3,0,MSV000094559,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,724669
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000081753:ccms_peak/data_mzxml/Samples/G75842_1x_rerun_15ul_RF5_01_20570.mzML:scan:608,1,0.72,1,0,MSV000081753,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,413345
Ibuprofen_l-valine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273669,-0.01,mzspec:MSV000082074:ccms_peak/Samples/G75842_1x_rerun_15ul_RF5_01_20570.mzML:scan:608,1,0.72,1,0,MSV000082074,NoID,temp/queries/84/848ec2a33b24489084b7c97d9f770332/848ec2a33b24489084b7c97d9f770332.mgf,1,306,1254864
