compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,-0.01,mzspec:ST002420:G3_2.mzML:scan:8681,1,0.81,1,0,ST002420,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,2024402
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,-0.01,mzspec:ST002420:G1_2.mzML:scan:8641,1,0.81,1,0,ST002420,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,2023875
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,-0.01,mzspec:ST002420:G15_2.mzML:scan:8704,1,0.8,1,0,ST002420,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,2024748
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,0.0,mzspec:MSV000082869:ccms_peak/Colgate_phase2/Plate3/95187_R-C10.mzML:scan:1255,1,0.75,5,0,MSV000082869,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,1405307
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,0.0,mzspec:MSV000082869:ccms_peak/Colgate_phase2/Plate4/95637_R-F6.mzML:scan:1236,1,0.74,5,0,MSV000082869,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,1405285
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,0.0,mzspec:MSV000082869:ccms_peak/Colgate_phase2/Plate4/95637_R-F6.mzML:scan:1183,1,0.74,4,0,MSV000082869,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,1405284
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,-0.02,mzspec:MSV000083689:ccms_peak/data_mzxml/samples_fecal/G84777_RC2_01_35684.mzML:scan:1689,1,0.72,2,0,MSV000083689,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,1841189
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,-0.02,mzspec:MSV000083689:ccms_peak/data_mzxml/samples/G84777_RC2_01_35684.mzML:scan:1689,1,0.72,2,0,MSV000083689,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,1841319
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,-0.02,mzspec:MSV000081548:ccms_peak/samples/GM5968_1_10_RD10_01_37389.mzML:scan:1485,1,0.72,3,0,MSV000081548,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,1439835
Ibuprofen_ornithine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273847,-0.01,mzspec:ST002420:G11_1.mzML:scan:8998,1,0.71,1,0,ST002420,NoID,temp/queries/ca/ca52d98da7d542b38f3ab4af07a15420/ca52d98da7d542b38f3ab4af07a15420.mgf,1,321,2023299
