compound_name,lib_usi,Delta Mass,USI,Charge,Cosine,Matching Peaks,Unit Delta Mass,Dataset,Status,Query Filename,Query Scan,Index UnitPM,Index IdxInUnitPM
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,0.0,mzspec:MSV000094561:peak/IM24.mzML:scan:643,1,0.85,2,0,MSV000094561,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,1490832
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.01,mzspec:MSV000082869:ccms_peak/Colgate_phase2/Plate8/95098_R-F5.mzML:scan:1366,1,0.77,1,0,MSV000082869,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,1589755
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,0.0,mzspec:MSV000095217:raw/mzML/Maui_MCapitata_Batch1_215.mzML:scan:2218,1,0.73,2,0,MSV000095217,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,308266
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000095217:raw/mzML/Maui_MCapitata_Batch1_186.mzML:scan:2277,1,0.73,2,0,MSV000095217,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,308074
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000095217:raw/mzML/Maui_MCapitata_Batch1_186.mzML:scan:2267,1,0.73,2,0,MSV000095217,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,308073
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000095217:raw/mzML/Maui_MCapitata_Batch1_241.mzML:scan:2277,1,0.73,2,0,MSV000095217,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,308744
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000095217:raw/mzML/Maui_MCapitata_Batch1_199.mzML:scan:2256,1,0.73,2,0,MSV000095217,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,307684
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000090806:raw/mzXML/203.mzXML:scan:2464,1,0.73,3,0,MSV000090806,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,394390
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000090806:raw/mzXML/23.mzXML:scan:2417,1,0.73,3,0,MSV000090806,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,390103
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,0.0,mzspec:MSV000090806:raw/mzXML/196.mzXML:scan:2456,1,0.73,3,0,MSV000090806,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,392142
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,0.0,mzspec:MSV000090806:raw/mzXML/226.mzXML:scan:2428,1,0.73,3,0,MSV000090806,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,388041
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000096609:peak/NASTE_MCap_mzML/HIMB_2024_12_M_3_1_T0_MIC.mzML:scan:3320,1,0.73,4,0,MSV000096609,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,767531
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000090806:raw/mzXML/194.mzXML:scan:2443,1,0.73,3,0,MSV000090806,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,386463
Ibuprofen_tryptamine,mzspec:GNPS:MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6:accession:CCMSLIB00016273896,-0.0,mzspec:MSV000095217:raw/mzML/Maui_MCapitata_Batch1_188.mzML:scan:2200,1,0.73,2,0,MSV000095217,NoID,temp/queries/72/7262115d69d9490ea7d07d99b03c0dc6/7262115d69d9490ea7d07d99b03c0dc6.mgf,1,349,310384
