row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,BLANK_20250905144046.mzML Peak area,BLANK_20250905131026.mzML Peak area,BLANK_20250905141457.mzML Peak area,BLANK.mzML Peak area,AB_2.mzML Peak area,AB_7.mzML Peak area,AB_1.mzML Peak area,AB_5.mzML Peak area,AB_4.mzML Peak area,AB_3.mzML Peak area,AB_8.mzML Peak area,AB_9.mzML Peak area,AB_6.mzML Peak area
829,150.0777285,0.6442583,,,,13,,,,,,,0,0,0,0,3190.8977,4181.4824,17352.191,15027.083,25186.19,9737.918,3712.6182,40813.543,11330.151
3011,151.0392654,1.6657661,,,,15,,,,,,,0,0,0,0,3255.6353,122289.36,302834.4,182129.95,19088.535,15935.591,33979.285,28452.74,6329.553
1465,151.0615687,0.87227964,,,,13,,,,,,,0,5.326062,0,0,57055.445,77494.7,187930.25,216216.22,193700.55,161934.92,81537.125,177904.11,131185.33
17175,151.0969579,9.274729,,,,87,,,,,,,32124.111,30983.922,35153.65,63744.945,25265.184,23731.893,25507.273,25978.947,24581.143,24871.352,24281.11,27364.857,25116.611
456,152.0225042,0.5126248,,,,13,,,,,,,135.93758,423.93396,369.8691,0,26057.291,21999.318,49750.516,37112.48,49064.766,41860.973,33842.016,24467.572,40426.13
6883,152.0622163,3.0116563,,,,,,,,,,,0,0,0,0,0,0,0,5198.775,0,0,0,0,20373.277
1899,152.0707122,1.1318619,,,,79,,,,,,,12661.059,472.18454,6326.75,7.225665,141542.05,8741.821,2619.8496,660694.25,381333.34,11569.626,421446.78,323850.2,856118.25
1414,152.0707127,0.8518186,,,,13,,,,,,,13506.998,1329.4272,7693.7534,0,1573838.2,8659.386,2703.7012,4259156.5,1435025.6,38256.934,2588810.2,5542932.5,6773481.5
2195,152.0707466,1.4036692,,,,15,,,,,,,12463.433,506.06085,6381.328,6.0766068,1049024,6816.7734,95.743256,1299969.2,293974.1,25561.797,862740.75,1037940.7,925343.2
7172,153.0214339,3.0843735,,,,,,,,,,,0,0,0,0,0,75841.24,0,0,0,0,5753.0186,0,0
1264,153.0659945,0.7950027,,,,13,,,,,,,23.052094,116.71436,54.885803,0,99068.15,98020.4,531600.8,237138.73,314283.6,159793.56,247790.58,107440.484,147983.3
7446,153.0701358,3.2357779,,,,85,,,,,,,0,0,0,0,16834.115,17601.648,40802.703,33955.594,49648.95,28861.467,11804.912,67534.05,23701.871
1626,154.0611916,0.97763497,,,,13,,,,,,,0,0,0,0,0,23132.479,59835.32,35281.004,54353.914,46415.344,21101.922,69781.695,21471.023
7429,155.0856461,3.2324147,,,,85,,,,,,,0,0,0,0,24865.23,23856.549,65947.04,47554.324,66850.445,39174.168,17442.916,88958.336,33892.492
1217,156.0768426,0.74430645,,,,13,,,,,,,0,0,0,0,12447.636,3565.4949,27862.574,41545.13,96633.375,22366.531,27571.217,223517.39,8090.091
895,156.0770483,0.6430987,,,,13,,,,,,,0,0,0,0,24552.418,18375.459,73583.81,111812.875,205923.64,71127.48,36125.12,134038.2,23287.893
537,156.077204,0.46486318,,,,13,,,,,,,118.69837,470.12433,292.48584,0,31109.578,11851.7295,22916.195,26223.414,53755.5,15965.82,17337.824,123529.27,8244.138
3984,157.1012757,1.9539539,,,,15,,,,,,,5.842782,5.7439847,0,0,38666.773,37399.258,81424.61,54049.758,104110.06,64107.223,19172.342,74094.086,65149.1
4809,157.1013362,2.1575484,,,,15,,,,,,,5.449669,0,0,0,20373.613,28802.11,86151.125,53459.7,52936.176,46255.203,16990.725,86626.72,27649.783
813,158.1177404,0.63123125,,,,13,,,,,,,6.6285486,7.114071,10.053109,14.907145,71273.055,5296.482,27943.129,14821.179,19114.162,4467.664,40799.73,24493.055,8183.8223
11012,158.1540993,5.2654376,,,,57,,,,,,,257542.83,212314,253825.77,1474465.5,218721.98,210295.62,214331.62,215653.73,215797.05,215539.81,217460.98,200893.08,206990.05
16626,158.1541475,8.762508,,,,58,,,,,,,106960.49,116646.43,101142.805,101308.016,111952.52,102878.484,114838.61,112885.375,117161.91,104307.66,99842.95,113823.21,99313.03
2600,159.0918358,1.5587442,,,,15,,,,,,,0,0,0,0,6068.09,7985.7773,17486.492,13657.237,45855.76,15942.841,8896.939,21631.912,7268.9995
5212,159.1168333,2.3141763,,,,15,,,,,,,6177.378,3765.6902,883.4536,0,920213.5,1146098.2,2711417.8,2081662.6,2889924.2,1518532.5,768298.4,1634645.5,1949372.9
5916,159.1169007,2.6539116,,,,15,,,,,,,7326.1685,6758.8643,515.43933,0,227607.73,286461.84,809223.1,712942.56,1218628,419517.66,187466.9,748746.75,692603.1
10156,159.1169138,4.7236342,,,,55,,,,,,,2450.6765,3228.7427,2929.5232,0,13504.164,23697.723,63140.812,144240.75,186445.69,43139.9,18138.695,125265.8,82396.17
11195,159.1169397,5.429028,,,,31,,,,,,,5935.53,1397.3247,691.582,0,4881.823,6475.7935,11497.62,12293.932,21042.486,5030.6274,9379.341,70847.14,5285.003
6935,159.116946,3.0191107,,,,15,,,,,,,4284.1157,3273.1692,1693.3031,0,491207.7,286748.97,1299327,938897.44,1667024.4,1159153.6,525473,1220477.8,430842.4
11974,159.1169476,6.028412,,,,,,,,,,,5803.89,717.99426,870.3087,0,1967.6,2806.4639,9377.856,12182.348,19038.941,5847.4126,8564.689,34088.676,11080.627
10498,159.1169541,4.887586,,,,93,,,,,,,4042.7766,5570.7876,1549.3103,0,26107.602,13588.7295,35232.594,46002.652,86046.43,18977.342,55343.7,670121.3,41036.746
7904,159.1169633,3.4185617,,,,,,,,,,,6881.1436,6261.3325,2599.2886,0,23747.848,23290.238,72546.77,56057.1,334863.5,50607.695,28444.852,88073.73,34387.6
8323,159.1169797,3.7022285,,,,85,,,,,,,5492.3774,1504.5088,526.119,0,45904.11,15506.151,57006.184,86152.19,171334.95,46461.25,47136.668,127598.87,30433.82
265,159.1495432,0.46661213,,,,13,,,,,,,19.556063,49.759052,108.965675,130.83832,13167.356,16693.28,25962.043,25154.88,32598.613,23129.87,11395.661,28594.484,38264.87
